GEOID,poptotal,gender_male,gender_female,age_0to4,age_5to9,age_10to14,age_15to19,age_20to24,age_25to34,age_35to44,age_45to54,age_55to59,age_60to64,age_65to74,age_75to84,age_85plus
860Z200US60002,24257,12063,12194,1120,1272,1637,2048,1321,2607,2496,4334,1859,1846,2410,995,312
860Z200US60004,52344,25624,26720,3419,3552,3446,3016,1890,5534,7155,7006,4234,3135,5383,3042,1532
860Z200US60005,29622,15024,14598,1866,1745,2096,1559,667,3490,4544,4379,1726,2122,3085,1431,912
860Z200US60007,33048,15875,17173,1600,2121,2336,1898,1271,3516,4728,4383,2521,2627,3306,2019,722
860Z200US60008,23191,11742,11449,1889,1163,1362,1066,1320,3714,2953,3177,1904,1000,2038,999,606
860Z200US60010,47130,23127,24003,1925,3443,3769,3924,1654,2489,5247,7028,4359,3086,5679,3152,1375
860Z200US60012,11712,5648,6064,441,670,983,1078,535,921,1469,1603,1473,826,982,504,227
860Z200US60013,26689,13431,13258,1260,1235,2236,2100,1547,2943,3692,4078,2243,2019,2324,774,238
860Z200US60014,47612,24283,23329,2180,3347,4055,3502,2777,4126,6889,7212,3468,3030,4850,1583,593
860Z200US60015,27671,13791,13880,1315,2011,1883,1906,1714,2229,3382,3763,2224,2290,2769,1401,784
860Z200US60016,62140,30307,31833,3391,3239,3649,3532,2652,8751,8374,7143,5015,5486,5904,3202,1802
860Z200US60018,29161,14954,14207,1750,1607,2103,2131,1664,3765,3518,4246,2126,1945,2236,1266,804
860Z200US60020,10932,4891,6041,697,319,589,334,565,1330,1451,1595,1443,563,1293,562,191
860Z200US60021,5205,2369,2836,248,320,333,388,149,732,700,979,439,306,432,179,0
860Z200US60022,8536,3993,4543,432,870,667,574,449,211,921,1102,1033,524,849,775,129
860Z200US60025,42196,20450,21746,2561,3292,2813,2520,1440,3480,5032,5628,2765,3598,5466,2165,1436
860Z200US60026,14206,6692,7514,711,1081,1218,1094,289,617,1845,2221,815,926,1621,1059,709
860Z200US60029,524,284,240,11,27,51,62,12,29,37,78,86,31,50,27,23
860Z200US60030,35517,18280,17237,2080,1992,2028,2329,2064,4262,4245,4923,2710,2703,3703,1536,942
860Z200US60031,37818,18126,19692,1507,2599,2216,3387,2819,4226,4399,6061,3059,2863,2974,1229,479
860Z200US60033,13658,6766,6892,874,1129,1412,1010,705,1985,1446,1345,808,1023,1120,628,173
860Z200US60034,2274,1074,1200,141,112,221,164,107,266,207,364,174,262,177,41,38
860Z200US60035,30251,14823,15428,2072,2167,1996,1587,705,1818,3593,3732,2220,2435,4640,2394,892
860Z200US60040,5204,2772,2432,373,350,238,314,397,872,667,586,433,159,543,190,82
860Z200US60041,8646,4334,4312,285,545,784,455,497,1019,884,1479,917,666,661,325,129
860Z200US60042,8552,4191,4361,738,445,414,435,475,1006,1208,1291,738,517,854,234,197
860Z200US60043,2423,1187,1236,217,249,270,177,97,68,287,346,219,164,206,86,37
860Z200US60044,10286,4834,5452,563,650,667,819,396,946,1070,1479,624,813,1400,609,250
860Z200US60045,21324,10429,10895,913,1019,1478,1912,1689,1666,1661,3016,1618,1257,2782,1527,786
860Z200US60046,35225,17886,17339,2117,2272,2856,2909,2146,3652,4329,5791,2633,2089,2972,1114,345
860Z200US60047,43606,21653,21953,2229,3076,3294,3035,2471,4075,5158,7038,4148,3534,3711,1266,571
860Z200US60048,29594,14302,15292,1591,1916,2515,2376,1455,2060,3377,5072,2390,2005,2593,1539,705
860Z200US60050,31748,15454,16294,1590,1955,1916,1691,1818,4084,4511,4396,2498,1991,3186,1264,848
860Z200US60051,23388,12327,11061,1466,1116,1549,1389,1165,2892,2856,3470,2480,1894,2187,698,226
860Z200US60053,25004,12385,12619,1156,1344,1490,1582,808,2106,3498,3826,1566,1554,3562,1659,853
860Z200US60056,56912,28335,28577,3901,3101,3766,3346,1962,7562,7995,8297,3436,3487,5362,3293,1404
860Z200US60060,37105,19134,17971,2357,2250,2014,2463,2173,5147,4666,5002,2486,2926,3382,1508,731
860Z200US60061,27761,13724,14037,1269,1963,2350,2276,1068,2666,4114,4085,1851,1842,2418,1140,719
860Z200US60062,41920,20124,21796,1959,2571,2286,2608,1561,2973,4511,6313,3528,3118,4879,3573,2040
860Z200US60064,15961,8347,7614,1153,1336,989,1046,1965,2849,1845,1441,852,805,1027,456,197
860Z200US60067,39006,18575,20431,2618,2480,2579,2039,1143,5075,4813,5850,2606,3403,3793,1948,659
860Z200US60068,39531,19301,20230,2184,3195,2425,2430,1455,2625,5446,5453,3140,3186,4204,2233,1555
860Z200US60069,8475,4228,4247,152,416,528,512,402,852,638,1114,937,401,1025,695,803
860Z200US60070,15875,8226,7649,1259,669,1169,906,380,2407,2429,1816,1067,941,1568,937,327
860Z200US60071,3910,2038,1872,160,285,135,179,182,373,466,316,237,474,683,243,177
860Z200US60072,908,430,478,44,59,57,58,65,48,84,185,86,66,114,37,5
860Z200US60073,62719,32309,30410,4249,4915,5526,5065,4999,7895,10281,8284,3333,2884,3398,1436,454
860Z200US60074,37655,18228,19427,2579,2861,2484,2392,2123,6264,4822,4515,2159,2516,3232,1312,396
860Z200US60075,29,16,13,0,0,0,0,0,0,0,0,0,0,13,16,0
860Z200US60076,33432,15817,17615,2274,2258,2053,1977,1414,3318,4149,4206,2443,2366,4567,1591,816
860Z200US60077,29238,14334,14904,1936,1843,1445,1749,1443,3119,3691,3778,2173,2207,3538,1592,724
860Z200US60081,9246,5152,4094,598,363,716,571,496,1018,929,1597,1040,769,835,233,81
860Z200US60083,9156,4583,4573,311,602,647,648,687,542,1221,1054,799,702,1194,551,198
860Z200US60084,16999,8674,8325,1177,1089,1248,1032,1060,1560,2840,2008,1517,1209,1438,494,327
860Z200US60085,73053,36985,36068,4636,5230,5625,5879,6538,10325,10616,9362,4361,3217,4569,1922,773
860Z200US60087,27470,13607,13863,2000,1988,2126,1956,2056,3819,3647,3264,1675,1514,2195,898,332
860Z200US60088,13251,9369,3882,442,482,335,4055,4605,2633,421,61,108,62,39,8,0
860Z200US60089,42993,20455,22538,2568,2481,3019,2969,2357,4289,6395,6661,3154,3070,4000,1260,770
860Z200US60090,39034,19299,19735,2256,2604,1755,1858,2032,6176,5967,4889,2469,2625,3649,2125,629
860Z200US60091,27750,13619,14131,1794,1900,2688,2260,635,1159,3134,4676,2192,1770,3158,1487,897
860Z200US60093,20379,9988,10391,1458,1905,1623,1510,510,1026,2194,3444,1422,1502,2456,924,405
860Z200US60096,6721,3340,3381,178,352,302,267,414,672,741,819,784,855,1023,222,92
860Z200US60097,11593,6015,5578,565,660,1125,754,541,1629,1271,1782,927,732,1191,355,61
860Z200US60098,33101,16198,16903,1729,1964,1878,2358,2597,3958,3922,4761,2393,2094,3125,1343,979
860Z200US60099,31514,14726,16788,1781,2536,2590,2594,2521,4206,3762,4105,1828,1875,2335,1045,336
860Z200US60101,37765,18663,19102,1920,2005,2429,3150,2546,5508,4290,5257,2355,2340,3526,1707,732
860Z200US60102,32438,16565,15873,1450,2008,1829,2543,1819,3800,3917,5321,3110,2382,2520,1081,658
860Z200US60103,42318,21057,21261,2449,2537,2930,2573,2750,4739,5400,6745,3036,3029,3812,1526,792
860Z200US60104,18785,8690,10095,1358,1489,1160,1136,940,2876,2204,2474,1189,1134,1862,759,204
860Z200US60106,20694,10466,10228,1510,1207,1630,1245,1334,2971,2853,2449,1384,1524,1443,716,428
860Z200US60107,39683,19502,20181,1877,2614,3067,2693,2319,5341,5860,5642,2497,2270,3583,1506,414
860Z200US60108,23703,11191,12512,1430,1637,1116,778,1444,2912,3244,2744,1344,1847,2834,1620,753
860Z200US60109,521,257,264,34,16,21,42,49,56,47,93,24,47,49,39,4
860Z200US60110,39335,19531,19804,2932,2750,4058,3461,3118,4654,5457,5527,1993,1751,2602,822,210
860Z200US60111,105,62,43,0,0,0,8,0,0,0,17,39,5,23,0,13
860Z200US60112,4515,2559,1956,299,277,386,172,470,1035,736,283,260,217,198,149,33
860Z200US60113,311,184,127,21,3,22,9,42,67,50,27,24,17,13,13,3
860Z200US60115,42815,21117,21698,2163,2169,2353,4387,9898,6247,3965,3556,2156,1540,2555,1090,736
860Z200US60118,15536,7815,7721,953,683,733,704,1129,2015,1710,2392,1353,1240,1499,837,288
860Z200US60119,10779,5559,5220,483,688,723,883,673,999,1023,1489,958,903,1368,294,295
860Z200US60120,51024,26074,24950,4660,3068,4362,3533,3712,7591,6896,6468,3337,2912,3092,1094,299
860Z200US60123,49140,24690,24450,3121,3501,3116,3873,3260,6522,5341,6330,3623,3413,4160,1923,957
860Z200US60124,24176,12204,11972,1276,1556,1242,1943,1069,2850,3122,3180,2638,1429,2338,1238,295
860Z200US60126,47822,23486,24336,3062,3441,2980,3710,2719,4220,6020,6844,3474,3294,4740,2083,1235
860Z200US60129,223,112,111,25,9,9,0,8,36,17,19,21,3,65,8,3
860Z200US60130,14297,6703,7594,730,391,625,397,928,2398,2265,1861,1238,946,1792,530,196
860Z200US60131,18409,8928,9481,810,1296,1603,1274,1061,2634,2564,2369,1200,1297,1473,605,223
860Z200US60133,37545,18001,19544,2043,2767,3632,3154,2238,5289,5385,4435,2804,1863,2673,1103,159
860Z200US60134,30514,14873,15641,1717,2762,2564,2049,1657,2473,4573,4510,2559,1821,2332,1058,439
860Z200US60135,7069,3802,3267,407,209,304,699,661,839,845,1018,692,348,764,213,70
860Z200US60136,8350,4125,4225,684,595,1232,314,165,1286,1385,1386,394,37,861,0,11
860Z200US60137,38648,19100,19548,2454,2813,2620,2931,2017,2867,5492,5055,2885,2700,4077,1779,958
860Z200US60139,33520,16681,16839,2167,1951,2390,2027,2528,5691,4935,4000,1954,1745,3055,786,291
860Z200US60140,20859,10728,10131,1182,1406,2133,841,1089,2018,3321,2767,1701,1373,2444,400,184
860Z200US60141,298,260,38,0,0,0,0,5,0,7,20,10,7,201,30,18
860Z200US60142,29478,14345,15133,1390,2036,1243,2260,911,2258,3158,3744,1743,1368,3805,4503,1059
860Z200US60143,11673,5473,6200,417,615,916,506,472,1387,1535,1743,1153,947,1184,600,198
860Z200US60144,97,44,53,0,0,13,12,0,4,13,33,4,1,5,12,0
860Z200US60145,2607,1405,1202,138,194,305,75,96,431,305,361,223,144,288,40,7
860Z200US60146,2324,1217,1107,56,111,185,228,130,306,214,500,68,141,294,74,17
860Z200US60148,53072,25809,27263,3067,3181,3127,3360,3056,8207,7060,6344,3952,3304,4679,2418,1317
860Z200US60150,1998,1030,968,189,166,142,99,145,193,284,272,187,51,176,86,8
860Z200US60151,4068,2047,2021,258,159,144,442,129,423,448,662,290,475,503,84,51
860Z200US60152,12471,6174,6297,959,904,684,683,1063,1699,1152,1324,668,1161,1177,780,217
860Z200US60153,23547,11523,12024,937,1530,1621,1746,1964,2776,3168,3429,1491,1497,1761,1089,538
860Z200US60154,16837,7804,9033,841,594,646,918,870,1814,1782,2241,1137,1408,2552,1409,625
860Z200US60155,8005,4196,3809,575,626,342,478,286,1190,809,1121,510,615,940,249,264
860Z200US60156,29024,14179,14845,1875,2135,2383,2202,2054,3438,4373,4464,2086,1352,1673,902,87
860Z200US60157,2553,1327,1226,98,88,87,235,215,97,252,284,338,265,331,158,105
860Z200US60160,25417,13260,12157,1714,1708,1989,2006,1793,3956,3560,3286,1535,1403,1398,732,337
860Z200US60162,8286,4207,4079,539,342,459,333,437,1486,825,1049,616,763,761,310,366
860Z200US60163,5307,2659,2648,387,331,349,160,475,730,459,780,425,379,497,167,168
860Z200US60164,21719,10872,10847,894,1558,1737,1888,1335,2738,3270,2657,1484,1036,1900,836,386
860Z200US60165,4611,2396,2215,299,357,413,441,338,585,803,535,309,297,131,66,37
860Z200US60169,34188,16680,17508,2462,1944,2132,2127,2245,5940,4442,4541,2059,2317,2767,930,282
860Z200US60171,10571,4922,5649,624,1075,782,459,476,1800,1433,1009,793,690,932,325,173
860Z200US60172,24407,11535,12872,1186,1356,1238,1347,1898,2927,3136,3416,2024,2056,2159,1251,413
860Z200US60173,14016,6965,7051,981,817,527,689,609,3721,2765,1373,693,640,738,343,120
860Z200US60174,30382,14572,15810,1262,1423,1916,2022,2189,3372,3830,4577,2395,2078,3270,1376,672
860Z200US60175,26677,14072,12605,1199,1554,2198,2447,1563,2262,2949,4472,2655,1689,2607,954,128
860Z200US60176,11680,6073,5607,680,887,1002,557,602,1541,1595,1295,1043,697,1203,423,155
860Z200US60177,23859,12260,11599,949,1501,1608,2520,1436,2287,3572,4580,1715,1035,1567,732,357
860Z200US60178,21684,10069,11615,1304,1369,1862,1839,1322,2598,2875,2705,1301,1476,1693,1062,278
860Z200US60180,1596,887,709,241,43,136,51,65,322,109,166,76,40,231,98,18
860Z200US60181,30488,14991,15497,2010,1692,2097,1436,2641,4745,4482,3682,1902,1583,2441,1275,502
860Z200US60183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860Z200US60184,2543,1208,1335,154,133,80,95,172,223,268,320,313,217,461,86,21
860Z200US60185,34471,17394,17077,1796,2115,2733,2767,2524,4054,4370,5058,2806,2356,2450,1030,412
860Z200US60187,30465,15196,15269,1875,1973,1971,2853,2492,3985,3099,3606,1809,2191,2658,1257,696
860Z200US60188,42290,20979,21311,2329,2303,2462,2868,3061,5289,5369,5635,3765,2898,4000,1440,871
860Z200US60189,30550,14750,15800,1747,2224,1927,2124,1631,3529,3799,3875,2002,2289,3529,1416,458
860Z200US60190,11448,5908,5540,544,691,699,683,564,899,1441,1778,970,1085,1189,722,183
860Z200US60191,14136,7294,6842,901,886,634,767,1024,1872,1886,1859,773,1170,1295,646,423
860Z200US60192,16391,8507,7884,885,995,1003,1260,526,1615,1994,2766,1192,1224,2149,623,159
860Z200US60193,40150,19826,20324,2864,2953,2286,1999,1773,4548,5705,5311,2934,2355,4297,2002,1123
860Z200US60194,20467,9673,10794,1082,1821,1180,956,973,2592,3157,2620,1679,1204,1578,902,723
860Z200US60195,4865,2132,2733,431,301,104,144,334,1203,977,224,295,379,307,128,38
860Z200US60201,43452,21733,21719,1939,2050,2362,4373,6778,5082,4105,4370,2084,2199,4591,2109,1410
860Z200US60202,34793,16346,18447,2028,2164,1977,2147,1577,4974,5316,4984,2266,2582,3377,1108,293
860Z200US60203,4728,2120,2608,419,315,449,314,196,152,746,594,286,377,556,212,112
860Z200US60208,209,105,104,0,0,0,92,99,18,0,0,0,0,0,0,0
860Z200US60301,2890,1324,1566,64,53,62,129,200,905,432,423,196,68,210,107,41
860Z200US60302,33039,15387,17652,1688,2215,2315,2061,1265,3723,4818,5138,1917,2023,3372,1781,723
860Z200US60304,18171,8718,9453,1134,1700,1434,1145,785,2051,2971,2446,1018,1172,1691,580,44
860Z200US60305,11742,5508,6234,767,577,993,1276,478,1064,1293,1815,661,762,1190,609,257
860Z200US60401,7852,3910,3942,347,489,547,701,568,700,963,1400,403,660,545,287,242
860Z200US60402,65326,33839,31487,4026,4521,5460,4288,4466,8583,10324,8259,4198,3099,4815,2399,888
860Z200US60403,17095,8258,8837,856,642,943,1230,1330,2661,2040,2149,905,870,1697,1387,385
860Z200US60404,19651,10288,9363,901,1249,1499,1556,745,2019,2489,2582,1436,1427,2228,1165,355
860Z200US60406,25007,12769,12238,1842,1429,1719,1864,2076,3480,3542,2793,1644,1979,1578,730,331
860Z200US60407,1623,905,718,163,85,129,93,68,198,219,224,88,129,136,54,37
860Z200US60408,5488,2751,2737,321,237,364,488,424,565,662,917,390,424,570,119,7
860Z200US60409,36065,16839,19226,1778,2718,2858,2793,2472,4694,5040,4221,2018,2754,2796,1487,436
860Z200US60410,13949,6647,7302,951,950,1126,1179,910,1418,1701,2169,770,884,1274,509,108
860Z200US60411,53242,25268,27974,3588,3410,4950,4324,3773,6593,6344,7139,3180,2985,4116,1978,862
860Z200US60415,14413,7016,7397,1183,994,717,598,890,2593,1525,1441,1243,939,1390,641,259
860Z200US60416,9307,4802,4505,515,647,532,654,440,922,1470,1235,642,654,1074,368,154
860Z200US60417,15607,7517,8090,522,549,979,1015,903,1507,1241,2478,1040,1373,2437,871,692
860Z200US60418,10910,5213,5697,541,662,399,291,550,1717,1032,1190,823,953,1529,776,447
860Z200US60419,21588,10043,11545,1267,1371,1421,1517,1463,3022,2098,2779,1490,1643,2347,854,316
860Z200US60420,4750,2322,2428,273,292,427,414,335,544,642,431,296,302,484,209,101
860Z200US60421,3838,2003,1835,180,138,196,198,164,568,549,507,442,276,437,120,63
860Z200US60422,10531,5073,5458,883,694,661,758,534,633,1312,1605,781,806,1324,336,204
860Z200US60423,32480,15981,16499,1357,2463,2781,2553,1668,2553,3664,5561,2478,2257,3646,1225,274
860Z200US60424,2256,1165,1091,131,133,105,190,124,273,312,280,222,164,186,121,15
860Z200US60425,8680,3861,4819,347,331,763,694,492,898,847,1490,524,694,876,471,253
860Z200US60426,23963,11348,12615,1246,1579,1891,1910,1868,3214,2791,3026,1112,1653,2044,1316,313
860Z200US60428,11316,5414,5902,1067,980,1033,817,556,1501,1438,1123,771,466,995,364,205
860Z200US60429,15018,6409,8609,905,1223,1477,1376,688,2288,1314,2382,663,758,1220,504,220
860Z200US60430,20351,9835,10516,1171,1315,1700,1688,825,1921,3118,2392,1542,1261,2285,679,454
860Z200US60431,26965,13080,13885,2060,2070,2364,1937,1845,3656,3547,4121,1540,1156,1851,600,218
860Z200US60432,19927,10396,9531,1243,1453,1958,1666,1694,2668,2853,2832,1058,753,1211,420,118
860Z200US60433,16045,8059,7986,1092,1010,1075,1272,1157,1918,2066,1932,1107,790,1428,705,493
860Z200US60435,48131,23955,24176,2610,3285,3877,3254,3241,6520,7012,6532,3020,2426,3570,1921,863
860Z200US60436,19013,9483,9530,990,1499,1896,1289,1556,2600,2895,2309,1123,949,1144,499,264
860Z200US60437,87,39,48,9,0,0,10,6,20,10,8,5,11,2,6,0
860Z200US60438,29390,13901,15489,1258,1895,2267,2360,1510,3517,3708,4564,1994,1690,2646,1233,748
860Z200US60439,24589,12366,12223,1192,1812,1665,1664,1250,1744,3210,3227,2390,1509,2397,1679,850
860Z200US60440,51310,24983,26327,2818,3165,3986,3695,3794,6491,7273,6771,3226,3298,4541,1601,651
860Z200US60441,37688,19777,17911,1977,2250,2853,2890,1992,5478,5601,5874,2630,1923,2703,1220,297
860Z200US60442,12758,6769,5989,1010,875,954,1051,604,1826,1703,1544,996,713,951,477,54
860Z200US60443,21043,9539,11504,1133,950,2127,1005,1429,2271,2206,3001,1433,1824,2254,1135,275
860Z200US60444,1943,964,979,150,150,142,122,119,232,255,200,201,112,140,107,13
860Z200US60445,14666,7562,7104,839,1026,1110,896,774,1948,2008,1745,1161,944,1496,633,86
860Z200US60446,41247,20355,20892,2334,2345,2558,3985,3762,5216,5545,6197,2777,2056,2597,1322,553
860Z200US60447,15544,7628,7916,912,1137,1523,1266,967,2076,2271,2330,984,782,871,353,72
860Z200US60448,25172,12648,12524,1201,1644,1719,1584,1410,2594,3185,3738,2269,2154,2309,1167,198
860Z200US60449,9579,5143,4436,466,242,422,445,252,1539,1402,1346,726,1350,885,340,164
860Z200US60450,20540,10337,10203,998,1576,1220,1181,1243,2588,2470,2995,1508,1188,2021,1025,527
860Z200US60451,36681,18914,17767,2811,2343,2862,2886,2220,3757,5547,4753,3260,1966,2826,1041,409
860Z200US60452,27247,13702,13545,982,1617,1975,1819,1752,3229,3423,4066,2337,1793,2722,1303,229
860Z200US60453,58032,28518,29514,3733,3476,3670,3099,2888,7230,7183,7458,4138,4558,6490,2938,1171
860Z200US60455,17332,8427,8905,1120,1006,715,1672,985,2774,2007,2079,1034,1223,1715,665,337
860Z200US60456,4324,2093,2231,232,176,430,196,287,526,524,709,318,325,396,143,62
860Z200US60457,14034,7285,6749,865,1231,1181,673,767,1881,2235,1487,764,911,1317,456,266
860Z200US60458,15080,7380,7700,1428,878,1071,1007,1446,2293,2498,1348,698,790,1098,428,97
